ES_number,Study,mod1,mod2,mod3,mod4,Exp_mean,Exp_sd,Exp_n,Ctrl_mean,Ctrl_sd,Ctrl_n
1,Abadia et al. (2019),Grades 9-12,Virtual Reality,Not reported,History,84,1.7,22,94,0.74,27
2,Abadia et al. (2019),University,Virtual Reality,Not reported,History,74,1.7,13,80,0.85,17
3,Araiza-Alba et al. (2021),Grades 4-6,Traditional Video,No,Other,13.04,1.79,46,13.61,1.73,28
4,Araiza-Alba et al. (2021),Grades 4-6,Traditional Video,No,Other,13.22,1.53,46,12.96,2.69,28
6,Barnidge et al. (2021),University,Traditional Training,Slightly modified,Science,3.2,0.21,46,3.39,0.22,46
7,Barnidge et al. (2021),University,Traditional Training,Slightly modified,Science,3.26,0.18,46,3.63,0.19,46
10,Calvert & Abadia (2020),University,Virtual Reality,Not reported,History,7.61,1.49,13,7.82,0.78,17
11,Chang et al. (2019),University,Traditional Video,Not reported,Healthcare,81.12,5.23,32,79.94,5.46,32
12,Chen et al. (2022),Grades 4-6,Traditional Video,Not reported,History,84,3.693,30,82.328,3.591,29
